"id","age","gender","education","endline_vaccine_attitude","endline_vaccination_status","treatment"
81,29,"Male","Bachelor's Degree","Bad","Yes","emotions"
82,37,"Male","Graduate Degree","Bad","Yes","reason"
83,64,"Non-binary","Bachelor's Degree","Bad","Yes","emotions"
84,18,"Non-binary","Bachelor's Degree","Okay","Yes","control group"
85,52,"Female","High School","Good","Yes","reason"
86,47,"Non-binary","Bachelor's Degree","Okay","Yes","emotions"
87,61,"Non-binary","High School","Okay","No","control group"
90,45,"Female","High School","Excellent","Yes","reason"
91,29,"Male","High School","Excellent","Yes","control group"
92,64,"Female","Associate Degree","Bad","Yes","control group"
93,63,"Female","Bachelor's Degree","Good","Yes","emotions"
94,54,"Female","Graduate Degree","Okay","Yes","control group"
95,72,"Female","Bachelor's Degree","Bad","Yes","reason"
97,18,"Female","High School","Bad","No","control group"
98,29,"Female","Associate Degree","Okay","Yes","control group"
99,18,"Female","Associate Degree","Okay","Yes","emotions"
101,28,"Female","Bachelor's Degree","Excellent","No","reason"
102,41,"Male","High School","Okay","Yes","reason"
103,22,"Female","Associate Degree","Terrible","Yes","emotions"
104,43,"Female","Associate Degree","Okay","No","emotions"
105,27,"Female","Graduate Degree","Bad","Yes","emotions"
106,75,"Female","High School","Bad","Yes","control group"
107,54,"Male","Graduate Degree","Good","Yes","reason"
108,58,"Male","Bachelor's Degree","Bad","Yes","reason"
109,48,"Female","High School","Okay","Yes","reason"
110,74,"Non-binary","Bachelor's Degree","Bad","Yes","reason"
112,31,"Non-binary","Associate Degree","Terrible","Yes","control group"
113,69,"Female","Associate Degree","Bad","No","control group"
114,27,"Female","Associate Degree","Good","Yes","reason"
115,36,"Female","High School","Excellent","Yes","reason"
116,32,"Non-binary","Bachelor's Degree","Okay","Yes","emotions"
117,34,"Female","Bachelor's Degree","Bad","Yes","reason"
118,34,"Female","High School","Good","Yes","emotions"
120,36,"Non-binary","Bachelor's Degree","Okay","Yes","emotions"
121,30,"Female","Associate Degree","Excellent","No","reason"
122,67,"Non-binary","Associate Degree","Bad","Yes","emotions"
123,36,"Male","High School","Excellent","Yes","emotions"
124,36,"Male","High School","Okay","No","reason"
125,38,"Male","Bachelor's Degree","Okay","Yes","reason"
126,54,"Non-binary","Graduate Degree","Good","Yes","reason"
127,39,"Female","Associate Degree","Okay","Yes","emotions"
128,39,"Male","Bachelor's Degree","Okay","Yes","reason"
129,26,"Non-binary","High School","Okay","Yes","reason"
130,34,"Male","Graduate Degree","Excellent","Yes","reason"
131,41,"Male","Graduate Degree","Okay","Yes","emotions"
132,28,"Non-binary","High School","Bad","Yes","control group"
133,51,"Non-binary","High School","Terrible","Yes","reason"
134,18,"Female","Associate Degree","Terrible","Yes","reason"
135,46,"Non-binary","Associate Degree","Terrible","Yes","reason"
136,18,"Female","Associate Degree","Terrible","Yes","reason"
137,34,"Male","High School","Okay","Yes","reason"
138,29,"Male","Associate Degree","Bad","Yes","reason"
139,27,"Male","Graduate Degree","Good","Yes","emotions"
140,39,"Male","Graduate Degree","Good","Yes","emotions"
141,18,"Non-binary","Bachelor's Degree","Excellent","Yes","control group"
142,64,"Female","Associate Degree","Okay","Yes","emotions"
143,18,"Non-binary","Bachelor's Degree","Terrible","Yes","emotions"
144,31,"Female","Bachelor's Degree","Okay","Yes","control group"
145,18,"Non-binary","High School","Excellent","No","control group"
146,25,"Male","Graduate Degree","Excellent","Yes","emotions"
147,80,"Non-binary","Bachelor's Degree","Good","Yes","reason"
148,40,"Male","Associate Degree","Good","Yes","reason"
149,18,"Male","Bachelor's Degree","Good","Yes","emotions"
150,18,"Non-binary","Associate Degree","Excellent","Yes","emotions"
151,49,"Non-binary","Graduate Degree","Excellent","Yes","emotions"
152,40,"Male","Associate Degree","Okay","Yes","emotions"
153,34,"Female","Associate Degree","Good","Yes","reason"
155,18,"Male","Associate Degree","Excellent","Yes","reason"
156,18,"Male","Associate Degree","Bad","Yes","control group"
157,60,"Female","Associate Degree","Good","Yes","emotions"
158,28,"Female","Graduate Degree","Good","Yes","control group"
160,77,"Female","Associate Degree","Good","No","control group"
161,49,"Male","High School","Excellent","Yes","reason"
162,35,"Female","High School","Good","No","reason"
163,61,"Male","Associate Degree","Excellent","Yes","control group"
165,28,"Non-binary","Associate Degree","Good","No","emotions"
166,80,"Female","Graduate Degree","Bad","Yes","emotions"
167,35,"Male","Graduate Degree","Good","Yes","emotions"
168,18,"Non-binary","Associate Degree","Good","Yes","emotions"
169,37,"Female","Associate Degree","Okay","Yes","control group"
170,44,"Male","Associate Degree","Good","Yes","reason"
171,80,"Non-binary","Graduate Degree","Excellent","Yes","control group"
172,42,"Non-binary","Graduate Degree","Terrible","No","control group"
173,49,"Female","Graduate Degree","Okay","Yes","control group"
175,33,"Female","Bachelor's Degree","Bad","No","emotions"
176,39,"Male","Associate Degree","Good","Yes","control group"
178,80,"Female","Associate Degree","Excellent","No","control group"
179,61,"Female","High School","Excellent","Yes","emotions"
180,64,"Male","Bachelor's Degree","Excellent","Yes","reason"
181,18,"Non-binary","Graduate Degree","Bad","Yes","reason"
182,60,"Non-binary","High School","Bad","Yes","control group"
185,50,"Male","Bachelor's Degree","Okay","Yes","emotions"
186,37,"Male","Bachelor's Degree","Bad","No","reason"
188,25,"Female","Graduate Degree","Okay","Yes","emotions"
189,31,"Female","Bachelor's Degree","Bad","Yes","control group"
190,21,"Male","High School","Bad","Yes","emotions"
191,36,"Male","Associate Degree","Terrible","Yes","reason"
192,48,"Male","Graduate Degree","Okay","No","control group"
193,25,"Male","Associate Degree","Good","Yes","reason"
194,57,"Non-binary","Bachelor's Degree","Excellent","No","reason"
195,18,"Male","Graduate Degree","Good","Yes","control group"
196,19,"Male","High School","Okay","Yes","control group"
197,69,"Non-binary","High School","Good","Yes","reason"
198,20,"Non-binary","High School","Okay","Yes","reason"
199,48,"Non-binary","High School","Good","Yes","emotions"
200,32,"Non-binary","Bachelor's Degree","Excellent","Yes","emotions"
202,74,"Non-binary","Graduate Degree","Okay","Yes","control group"
203,72,"Non-binary","Bachelor's Degree","Okay","Yes","reason"
204,33,"Non-binary","High School","Excellent","Yes","control group"
205,18,"Non-binary","Graduate Degree","Excellent","Yes","control group"
206,80,"Non-binary","Bachelor's Degree","Bad","Yes","control group"
207,53,"Female","Associate Degree","Good","Yes","emotions"
208,51,"Female","Associate Degree","Bad","Yes","reason"
209,40,"Male","Bachelor's Degree","Okay","Yes","reason"
210,50,"Non-binary","Associate Degree","Good","No","control group"
211,37,"Non-binary","Graduate Degree","Terrible","Yes","control group"
212,48,"Non-binary","Bachelor's Degree","Terrible","Yes","reason"
213,32,"Non-binary","Associate Degree","Bad","Yes","emotions"
214,18,"Non-binary","Bachelor's Degree","Excellent","Yes","emotions"
215,60,"Male","Bachelor's Degree","Terrible","Yes","reason"
216,70,"Male","Bachelor's Degree","Bad","Yes","control group"
217,34,"Non-binary","Graduate Degree","Terrible","Yes","emotions"
218,18,"Non-binary","High School","Bad","No","reason"
219,53,"Female","Associate Degree","Okay","No","control group"
220,39,"Female","Bachelor's Degree","Terrible","Yes","emotions"
221,18,"Female","Graduate Degree","Okay","Yes","control group"
223,27,"Male","High School","Bad","Yes","reason"
224,33,"Female","Graduate Degree","Terrible","Yes","emotions"
225,18,"Male","Bachelor's Degree","Excellent","Yes","emotions"
226,76,"Non-binary","Graduate Degree","Good","No","reason"
227,33,"Male","Bachelor's Degree","Bad","No","control group"
229,44,"Non-binary","Associate Degree","Bad","No","emotions"
230,45,"Male","High School","Terrible","Yes","emotions"
231,20,"Male","Bachelor's Degree","Excellent","Yes","emotions"
233,27,"Male","Associate Degree","Bad","No","emotions"
234,51,"Female","Graduate Degree","Okay","Yes","reason"
235,39,"Female","Associate Degree","Terrible","Yes","reason"
236,38,"Male","Graduate Degree","Good","Yes","reason"
237,51,"Male","Bachelor's Degree","Good","No","control group"
238,18,"Non-binary","High School","Okay","Yes","reason"
239,62,"Female","Associate Degree","Terrible","Yes","reason"
240,40,"Male","High School","Good","Yes","emotions"
241,54,"Female","Associate Degree","Terrible","No","emotions"
242,61,"Male","Bachelor's Degree","Good","Yes","reason"
243,44,"Non-binary","Associate Degree","Bad","Yes","reason"
244,22,"Male","Bachelor's Degree","Okay","Yes","reason"
245,63,"Male","Bachelor's Degree","Okay","Yes","control group"
246,18,"Non-binary","Bachelor's Degree","Bad","Yes","emotions"
247,29,"Female","Associate Degree","Excellent","No","control group"
248,35,"Female","High School","Bad","No","control group"
249,37,"Male","Graduate Degree","Terrible","Yes","control group"
250,60,"Female","Bachelor's Degree","Good","Yes","emotions"
251,43,"Female","Associate Degree","Okay","Yes","reason"
252,48,"Female","High School","Excellent","Yes","reason"
253,39,"Non-binary","Graduate Degree","Terrible","No","control group"
254,35,"Male","Associate Degree","Excellent","Yes","emotions"
255,54,"Female","Bachelor's Degree","Terrible","Yes","control group"
256,63,"Female","High School","Bad","Yes","reason"
257,18,"Male","Associate Degree","Bad","Yes","emotions"
258,51,"Male","High School","Terrible","Yes","reason"
259,47,"Male","Associate Degree","Excellent","No","emotions"
260,31,"Female","High School","Bad","Yes","control group"
261,59,"Male","High School","Good","Yes","reason"
262,32,"Non-binary","Bachelor's Degree","Bad","Yes","reason"
263,34,"Non-binary","Associate Degree","Terrible","Yes","control group"
264,57,"Female","High School","Okay","Yes","reason"
265,74,"Female","Associate Degree","Excellent","Yes","control group"
266,45,"Male","High School","Excellent","Yes","reason"
268,18,"Non-binary","High School","Good","No","control group"
269,33,"Male","High School","Okay","Yes","reason"
270,21,"Female","Graduate Degree","Excellent","Yes","control group"
271,35,"Male","Bachelor's Degree","Bad","Yes","emotions"
272,48,"Female","Associate Degree","Okay","No","control group"
273,23,"Female","Bachelor's Degree","Good","Yes","reason"
274,80,"Male","High School","Good","Yes","reason"
275,43,"Female","Bachelor's Degree","Good","Yes","emotions"
277,18,"Non-binary","Bachelor's Degree","Okay","Yes","reason"
278,55,"Non-binary","Associate Degree","Okay","Yes","reason"
279,18,"Male","Bachelor's Degree","Bad","Yes","emotions"
280,58,"Female","High School","Bad","No","reason"
281,48,"Male","Graduate Degree","Good","Yes","emotions"
282,32,"Non-binary","Associate Degree","Excellent","No","reason"
283,66,"Non-binary","Bachelor's Degree","Good","Yes","emotions"
284,26,"Female","Graduate Degree","Good","Yes","emotions"
287,27,"Female","Bachelor's Degree","Good","Yes","control group"
288,59,"Male","Bachelor's Degree","Terrible","Yes","reason"
289,49,"Male","Associate Degree","Good","Yes","control group"
290,60,"Non-binary","High School","Excellent","Yes","emotions"
291,32,"Male","Bachelor's Degree","Bad","Yes","reason"
292,48,"Female","High School","Bad","No","control group"
293,45,"Non-binary","High School","Okay","No","control group"
294,18,"Female","Associate Degree","Good","Yes","control group"
295,76,"Female","Associate Degree","Okay","Yes","reason"
296,43,"Female","Bachelor's Degree","Good","Yes","reason"
297,55,"Female","Associate Degree","Bad","Yes","control group"
298,59,"Non-binary","High School","Good","No","emotions"
299,39,"Female","Bachelor's Degree","Bad","Yes","emotions"
300,34,"Female","Associate Degree","Good","Yes","emotions"
301,58,"Female","High School","Good","No","emotions"
303,79,"Non-binary","Associate Degree","Terrible","No","emotions"
304,32,"Male","Associate Degree","Excellent","No","control group"
305,73,"Female","Associate Degree","Bad","No","reason"
306,70,"Female","Associate Degree","Good","Yes","control group"
308,51,"Non-binary","Associate Degree","Good","No","reason"
309,20,"Male","Bachelor's Degree","Okay","Yes","emotions"
310,46,"Male","Associate Degree","Bad","Yes","control group"
312,42,"Male","Associate Degree","Excellent","Yes","reason"
313,31,"Male","High School","Terrible","Yes","control group"
314,27,"Male","Bachelor's Degree","Bad","No","reason"
315,39,"Non-binary","Bachelor's Degree","Good","Yes","control group"
316,61,"Female","Graduate Degree","Good","No","control group"
317,30,"Non-binary","High School","Excellent","Yes","emotions"
318,38,"Female","Bachelor's Degree","Bad","Yes","reason"
319,18,"Female","High School","Excellent","Yes","reason"
320,50,"Male","High School","Okay","Yes","control group"
321,66,"Male","Bachelor's Degree","Terrible","Yes","reason"
322,70,"Female","Graduate Degree","Excellent","Yes","control group"
323,56,"Female","Associate Degree","Good","Yes","reason"
324,18,"Male","Bachelor's Degree","Excellent","No","emotions"
325,50,"Non-binary","Associate Degree","Good","Yes","emotions"
326,49,"Male","Bachelor's Degree","Bad","No","emotions"
327,33,"Female","Graduate Degree","Good","No","control group"
328,43,"Female","Associate Degree","Bad","Yes","reason"
329,23,"Non-binary","High School","Bad","Yes","reason"
330,54,"Non-binary","High School","Bad","Yes","control group"
331,33,"Male","High School","Good","Yes","control group"
332,18,"Female","High School","Terrible","Yes","reason"
333,33,"Female","High School","Terrible","Yes","emotions"
334,67,"Female","Graduate Degree","Okay","No","reason"
335,33,"Male","High School","Excellent","Yes","emotions"
337,59,"Non-binary","Associate Degree","Good","No","emotions"
338,40,"Male","Bachelor's Degree","Good","No","control group"
339,33,"Male","Bachelor's Degree","Terrible","Yes","control group"
340,29,"Female","Bachelor's Degree","Good","Yes","reason"
341,55,"Male","Bachelor's Degree","Terrible","Yes","emotions"
342,19,"Female","Associate Degree","Okay","Yes","control group"
345,18,"Male","Associate Degree","Terrible","Yes","emotions"
346,18,"Non-binary","High School","Okay","Yes","reason"
347,58,"Non-binary","Bachelor's Degree","Excellent","No","reason"
348,36,"Female","Graduate Degree","Bad","Yes","control group"
349,56,"Non-binary","Associate Degree","Good","Yes","emotions"
351,69,"Male","Bachelor's Degree","Good","No","emotions"
352,54,"Non-binary","Associate Degree","Excellent","Yes","emotions"
353,48,"Female","High School","Excellent","Yes","emotions"
354,36,"Male","High School","Bad","No","emotions"
355,72,"Non-binary","Associate Degree","Okay","Yes","control group"
359,18,"Male","Associate Degree","Good","Yes","reason"
360,36,"Male","Graduate Degree","Terrible","Yes","reason"
361,18,"Female","Graduate Degree","Excellent","Yes","emotions"
362,66,"Female","High School","Terrible","No","control group"
363,27,"Non-binary","Bachelor's Degree","Excellent","Yes","reason"
364,31,"Non-binary","Graduate Degree","Bad","No","emotions"
366,52,"Non-binary","Bachelor's Degree","Okay","Yes","control group"
368,51,"Non-binary","Bachelor's Degree","Excellent","Yes","reason"
369,29,"Female","Graduate Degree","Good","Yes","control group"
370,18,"Male","Associate Degree","Good","Yes","emotions"
371,32,"Non-binary","Graduate Degree","Okay","No","control group"
373,24,"Non-binary","High School","Terrible","No","control group"
374,39,"Male","Associate Degree","Okay","No","emotions"
375,18,"Non-binary","Bachelor's Degree","Good","Yes","reason"
376,40,"Non-binary","Graduate Degree","Good","Yes","emotions"
377,43,"Non-binary","Bachelor's Degree","Bad","Yes","reason"
378,37,"Non-binary","Associate Degree","Terrible","No","emotions"
379,37,"Female","Bachelor's Degree","Good","Yes","control group"
380,75,"Female","Graduate Degree","Okay","Yes","reason"
381,55,"Non-binary","Graduate Degree","Bad","Yes","emotions"
382,62,"Male","High School","Excellent","Yes","reason"
383,22,"Female","Bachelor's Degree","Good","Yes","control group"
384,43,"Male","Associate Degree","Excellent","No","emotions"
385,63,"Male","Graduate Degree","Excellent","Yes","control group"
386,39,"Non-binary","Associate Degree","Good","Yes","emotions"
387,18,"Female","Graduate Degree","Okay","No","control group"
388,47,"Female","Associate Degree","Terrible","Yes","control group"
389,18,"Male","Associate Degree","Bad","Yes","reason"
390,24,"Female","Associate Degree","Terrible","No","reason"
391,66,"Male","Associate Degree","Terrible","No","reason"
392,52,"Female","High School","Bad","No","control group"
393,62,"Non-binary","Associate Degree","Bad","Yes","reason"
394,46,"Male","Associate Degree","Bad","Yes","reason"
395,38,"Male","Associate Degree","Excellent","Yes","emotions"
396,22,"Male","Graduate Degree","Okay","Yes","emotions"
397,72,"Male","Bachelor's Degree","Excellent","Yes","control group"
398,41,"Female","Graduate Degree","Good","No","reason"
399,26,"Female","High School","Okay","Yes","emotions"
400,57,"Male","High School","Bad","Yes","emotions"
401,61,"Male","Associate Degree","Okay","No","control group"
402,78,"Non-binary","High School","Bad","No","control group"
403,28,"Non-binary","Associate Degree","Bad","Yes","emotions"
404,32,"Non-binary","Associate Degree","Good","Yes","reason"
405,32,"Non-binary","High School","Terrible","No","emotions"
406,32,"Male","Associate Degree","Terrible","Yes","control group"
407,33,"Male","Bachelor's Degree","Terrible","Yes","reason"
408,34,"Female","Associate Degree","Okay","Yes","emotions"
409,69,"Female","Associate Degree","Excellent","Yes","reason"
410,26,"Female","High School","Terrible","Yes","control group"
411,32,"Non-binary","Associate Degree","Excellent","Yes","reason"
412,53,"Non-binary","Associate Degree","Okay","Yes","control group"
413,62,"Female","Bachelor's Degree","Excellent","Yes","reason"
414,25,"Female","High School","Excellent","Yes","emotions"
415,30,"Non-binary","Bachelor's Degree","Terrible","Yes","emotions"
416,50,"Male","Associate Degree","Good","Yes","emotions"
418,35,"Non-binary","High School","Bad","Yes","reason"
419,18,"Female","Bachelor's Degree","Bad","Yes","emotions"
420,74,"Non-binary","High School","Excellent","Yes","reason"
421,69,"Female","Associate Degree","Bad","Yes","reason"
422,26,"Male","Associate Degree","Excellent","Yes","emotions"
423,39,"Female","High School","Okay","No","emotions"
424,18,"Male","High School","Good","Yes","emotions"
426,72,"Non-binary","Graduate Degree","Okay","Yes","control group"
427,18,"Non-binary","High School","Okay","No","control group"
428,24,"Male","Bachelor's Degree","Excellent","No","control group"
429,27,"Male","Associate Degree","Okay","Yes","control group"
430,26,"Female","High School","Good","Yes","reason"
431,18,"Male","High School","Bad","Yes","emotions"
432,50,"Non-binary","Graduate Degree","Good","Yes","reason"
434,40,"Male","Associate Degree","Terrible","Yes","emotions"
435,52,"Non-binary","High School","Excellent","Yes","control group"
436,36,"Female","Bachelor's Degree","Okay","No","control group"
437,58,"Male","Bachelor's Degree","Okay","Yes","control group"
438,39,"Male","Associate Degree","Excellent","Yes","control group"
439,27,"Female","Graduate Degree","Excellent","Yes","control group"
441,31,"Male","Associate Degree","Bad","Yes","emotions"
442,75,"Non-binary","Graduate Degree","Okay","Yes","reason"
443,40,"Female","Graduate Degree","Okay","Yes","emotions"
444,57,"Male","Associate Degree","Bad","No","reason"
445,44,"Female","High School","Bad","Yes","emotions"
446,18,"Non-binary","High School","Good","Yes","emotions"
447,18,"Male","Graduate Degree","Good","Yes","reason"
448,32,"Female","High School","Good","No","emotions"
449,45,"Female","Bachelor's Degree","Bad","Yes","reason"
450,18,"Male","Associate Degree","Good","No","reason"
451,59,"Female","Bachelor's Degree","Okay","Yes","emotions"
452,28,"Male","High School","Excellent","Yes","reason"
453,25,"Non-binary","Bachelor's Degree","Terrible","Yes","control group"
454,18,"Non-binary","Bachelor's Degree","Excellent","Yes","control group"
455,18,"Male","Associate Degree","Terrible","Yes","control group"
456,41,"Female","Bachelor's Degree","Okay","Yes","control group"
457,50,"Female","Bachelor's Degree","Excellent","Yes","reason"
458,18,"Male","Associate Degree","Excellent","Yes","emotions"
459,20,"Female","Associate Degree","Okay","Yes","emotions"
460,51,"Non-binary","Associate Degree","Terrible","No","reason"
461,31,"Male","Associate Degree","Bad","Yes","reason"
462,80,"Male","High School","Excellent","Yes","emotions"
463,65,"Male","High School","Terrible","Yes","control group"
464,52,"Non-binary","High School","Bad","Yes","emotions"
465,40,"Female","Bachelor's Degree","Excellent","No","reason"
466,46,"Male","Bachelor's Degree","Okay","Yes","control group"
467,26,"Male","High School","Terrible","Yes","emotions"
468,53,"Non-binary","High School","Bad","Yes","control group"
470,62,"Female","Bachelor's Degree","Good","Yes","reason"
472,18,"Male","Bachelor's Degree","Okay","Yes","control group"
474,49,"Non-binary","High School","Excellent","Yes","control group"
476,18,"Non-binary","Associate Degree","Bad","Yes","control group"
477,47,"Female","High School","Good","Yes","reason"
478,45,"Male","Associate Degree","Okay","No","control group"
479,64,"Female","High School","Excellent","Yes","control group"
480,39,"Non-binary","Bachelor's Degree","Bad","No","control group"
481,33,"Male","Associate Degree","Terrible","Yes","emotions"
482,18,"Non-binary","High School","Okay","No","control group"
483,30,"Non-binary","Bachelor's Degree","Bad","Yes","control group"
484,33,"Male","Associate Degree","Excellent","No","emotions"
485,80,"Male","Associate Degree","Bad","Yes","emotions"
486,80,"Female","Associate Degree","Terrible","No","reason"
487,37,"Female","Associate Degree","Excellent","No","reason"
488,19,"Non-binary","High School","Bad","No","control group"
490,50,"Non-binary","Bachelor's Degree","Okay","No","control group"
491,18,"Non-binary","Bachelor's Degree","Excellent","No","control group"
492,80,"Male","Associate Degree","Okay","Yes","reason"
493,22,"Non-binary","Bachelor's Degree","Terrible","Yes","reason"
494,42,"Male","High School","Good","Yes","control group"
496,18,"Female","Associate Degree","Good","Yes","reason"
497,46,"Female","High School","Bad","Yes","reason"
498,18,"Male","Associate Degree","Excellent","Yes","control group"
499,47,"Female","Bachelor's Degree","Bad","No","control group"
500,23,"Male","Bachelor's Degree","Excellent","No","emotions"
501,42,"Female","Associate Degree","Good","Yes","reason"
502,34,"Male","High School","Terrible","Yes","reason"
503,18,"Male","Associate Degree","Good","No","control group"
504,40,"Non-binary","Bachelor's Degree","Good","No","reason"
505,60,"Male","Graduate Degree","Bad","Yes","control group"
507,18,"Female","Graduate Degree","Terrible","No","control group"
508,35,"Female","Graduate Degree","Good","Yes","reason"
510,18,"Non-binary","Associate Degree","Good","Yes","control group"
511,18,"Male","Associate Degree","Excellent","No","emotions"
512,21,"Non-binary","Graduate Degree","Bad","Yes","reason"
513,21,"Female","Bachelor's Degree","Okay","No","reason"
514,41,"Male","Bachelor's Degree","Terrible","No","control group"
515,32,"Female","High School","Good","No","control group"
516,45,"Non-binary","Bachelor's Degree","Good","Yes","emotions"
517,32,"Female","Associate Degree","Terrible","Yes","emotions"
518,47,"Female","High School","Terrible","Yes","emotions"
519,33,"Male","Bachelor's Degree","Good","Yes","control group"
520,64,"Male","Associate Degree","Good","Yes","control group"
521,25,"Female","Associate Degree","Good","Yes","emotions"
522,46,"Male","Associate Degree","Good","Yes","emotions"
523,22,"Non-binary","Graduate Degree","Terrible","Yes","control group"
524,44,"Non-binary","Bachelor's Degree","Excellent","Yes","emotions"
525,39,"Male","Associate Degree","Excellent","Yes","emotions"
526,18,"Male","Bachelor's Degree","Okay","Yes","control group"
527,37,"Non-binary","Bachelor's Degree","Bad","Yes","emotions"
528,64,"Female","High School","Excellent","Yes","emotions"
529,54,"Non-binary","Associate Degree","Good","Yes","reason"
530,43,"Female","Bachelor's Degree","Bad","Yes","reason"
531,18,"Female","Bachelor's Degree","Terrible","Yes","emotions"
532,63,"Male","Graduate Degree","Bad","Yes","emotions"
533,42,"Female","Associate Degree","Terrible","No","reason"
534,31,"Non-binary","High School","Excellent","Yes","emotions"
535,73,"Male","High School","Bad","Yes","control group"
536,25,"Non-binary","High School","Excellent","Yes","emotions"
537,46,"Male","High School","Good","Yes","emotions"
538,66,"Non-binary","Associate Degree","Terrible","Yes","reason"
539,52,"Non-binary","Bachelor's Degree","Excellent","Yes","reason"
540,34,"Non-binary","Graduate Degree","Terrible","No","emotions"
541,32,"Non-binary","High School","Bad","Yes","reason"
543,50,"Non-binary","High School","Good","Yes","control group"
544,40,"Female","Associate Degree","Excellent","Yes","reason"
545,66,"Male","Graduate Degree","Excellent","No","emotions"
546,39,"Male","High School","Good","No","control group"
547,26,"Male","Associate Degree","Good","Yes","reason"
548,51,"Female","Bachelor's Degree","Okay","Yes","control group"
549,18,"Female","Bachelor's Degree","Good","No","control group"
550,48,"Non-binary","Bachelor's Degree","Terrible","Yes","reason"
551,50,"Male","High School","Good","Yes","reason"
552,36,"Male","Bachelor's Degree","Good","Yes","control group"
553,18,"Non-binary","Graduate Degree","Good","No","reason"
554,32,"Male","Bachelor's Degree","Terrible","Yes","emotions"
