"id","age","gender","education","baseline_vaccine_attitude","baseline_vaccination_status"
56,80,"Female","Bachelor's Degree","Excellent","Yes"
57,33,"Male","Bachelor's Degree","Excellent","No"
58,19,"Female","Graduate Degree","Excellent","No"
59,51,"Non-binary","High School","Okay","No"
60,37,"Female","Bachelor's Degree","Bad","No"
61,80,"Female","Graduate Degree","Good","Yes"
62,39,"Female","Graduate Degree","Okay","Yes"
63,54,"Female","Associate Degree","Good","No"
64,41,"Non-binary","Associate Degree","Okay","Yes"
65,25,"Male","Bachelor's Degree","Excellent","Yes"
66,44,"Female","Bachelor's Degree","Bad","Yes"
67,18,"Male","Bachelor's Degree","Okay","No"
68,69,"Female","High School","Good","Yes"
69,43,"Female","High School","Terrible","Yes"
70,80,"Female","Associate Degree","Okay","Yes"
71,50,"Female","Bachelor's Degree","Good","No"
72,26,"Female","High School","Okay","No"
73,52,"Non-binary","Bachelor's Degree","Good","No"
74,21,"Male","High School","Okay","Yes"
75,18,"Male","Bachelor's Degree","Bad","Yes"
76,46,"Male","High School","Bad","Yes"
77,31,"Female","Associate Degree","Excellent","No"
78,40,"Male","Associate Degree","Okay","No"
79,41,"Male","Graduate Degree","Excellent","No"
80,28,"Male","Bachelor's Degree","Okay","No"
81,29,"Male","Bachelor's Degree","Excellent","Yes"
82,37,"Male","Graduate Degree","Excellent","Yes"
83,64,"Non-binary","Bachelor's Degree","Good","No"
84,18,"Non-binary","Bachelor's Degree","Okay","No"
85,52,"Female","High School","Good","Yes"
86,47,"Non-binary","Bachelor's Degree","Okay","Yes"
87,61,"Non-binary","High School","Excellent","No"
88,34,"Non-binary","Bachelor's Degree","Bad","No"
89,47,"Female","Bachelor's Degree","Bad","No"
90,45,"Female","High School","Good","No"
91,29,"Male","High School","Good","Yes"
92,64,"Female","Associate Degree","Okay","Yes"
93,63,"Female","Bachelor's Degree","Bad","No"
94,54,"Female","Graduate Degree","Excellent","Yes"
95,72,"Female","Bachelor's Degree","Bad","Yes"
96,51,"Female","Bachelor's Degree","Okay","No"
97,18,"Female","High School","Good","No"
98,29,"Female","Associate Degree","Okay","No"
99,18,"Female","Associate Degree","Bad","Yes"
100,31,"Male","Graduate Degree","Bad","No"
101,28,"Female","Bachelor's Degree","Excellent","No"
102,41,"Male","High School","Excellent","Yes"
103,22,"Female","Associate Degree","Good","Yes"
104,43,"Female","Associate Degree","Terrible","No"
105,27,"Female","Graduate Degree","Bad","Yes"
106,75,"Female","High School","Okay","Yes"
107,54,"Male","Graduate Degree","Bad","Yes"
108,58,"Male","Bachelor's Degree","Bad","No"
109,48,"Female","High School","Okay","Yes"
110,74,"Non-binary","Bachelor's Degree","Okay","No"
111,27,"Non-binary","Associate Degree","Good","No"
112,31,"Non-binary","Associate Degree","Okay","Yes"
113,69,"Female","Associate Degree","Okay","No"
114,27,"Female","Associate Degree","Terrible","No"
115,36,"Female","High School","Bad","Yes"
116,32,"Non-binary","Bachelor's Degree","Excellent","Yes"
117,34,"Female","Bachelor's Degree","Good","No"
118,34,"Female","High School","Good","Yes"
119,50,"Female","Associate Degree","Good","No"
120,36,"Non-binary","Bachelor's Degree","Bad","No"
121,30,"Female","Associate Degree","Okay","No"
122,67,"Non-binary","Associate Degree","Terrible","Yes"
123,36,"Male","High School","Good","No"
124,36,"Male","High School","Okay","No"
125,38,"Male","Bachelor's Degree","Bad","No"
126,54,"Non-binary","Graduate Degree","Good","Yes"
127,39,"Female","Associate Degree","Okay","Yes"
128,39,"Male","Bachelor's Degree","Good","No"
129,26,"Non-binary","High School","Excellent","No"
130,34,"Male","Graduate Degree","Bad","No"
131,41,"Male","Graduate Degree","Okay","Yes"
132,28,"Non-binary","High School","Bad","Yes"
133,51,"Non-binary","High School","Okay","No"
134,18,"Female","Associate Degree","Good","Yes"
135,46,"Non-binary","Associate Degree","Bad","Yes"
136,18,"Female","Associate Degree","Okay","No"
137,34,"Male","High School","Good","Yes"
138,29,"Male","Associate Degree","Okay","Yes"
139,27,"Male","Graduate Degree","Bad","No"
140,39,"Male","Graduate Degree","Bad","No"
141,18,"Non-binary","Bachelor's Degree","Terrible","Yes"
142,64,"Female","Associate Degree","Bad","Yes"
143,18,"Non-binary","Bachelor's Degree","Good","Yes"
144,31,"Female","Bachelor's Degree","Good","Yes"
145,18,"Non-binary","High School","Terrible","No"
146,25,"Male","Graduate Degree","Terrible","Yes"
147,80,"Non-binary","Bachelor's Degree","Good","No"
148,40,"Male","Associate Degree","Okay","No"
149,18,"Male","Bachelor's Degree","Terrible","Yes"
150,18,"Non-binary","Associate Degree","Excellent","Yes"
151,49,"Non-binary","Graduate Degree","Bad","Yes"
152,40,"Male","Associate Degree","Bad","Yes"
153,34,"Female","Associate Degree","Terrible","Yes"
154,21,"Non-binary","Associate Degree","Good","No"
155,18,"Male","Associate Degree","Bad","No"
156,18,"Male","Associate Degree","Okay","No"
157,60,"Female","Associate Degree","Excellent","No"
158,28,"Female","Graduate Degree","Okay","Yes"
159,18,"Non-binary","Bachelor's Degree","Excellent","No"
160,77,"Female","Associate Degree","Good","No"
161,49,"Male","High School","Terrible","Yes"
162,35,"Female","High School","Excellent","No"
163,61,"Male","Associate Degree","Bad","Yes"
164,58,"Non-binary","Graduate Degree","Okay","No"
165,28,"Non-binary","Associate Degree","Good","No"
166,80,"Female","Graduate Degree","Okay","Yes"
167,35,"Male","Graduate Degree","Okay","Yes"
168,18,"Non-binary","Associate Degree","Okay","Yes"
169,37,"Female","Associate Degree","Okay","Yes"
170,44,"Male","Associate Degree","Excellent","No"
171,80,"Non-binary","Graduate Degree","Terrible","Yes"
172,42,"Non-binary","Graduate Degree","Okay","No"
173,49,"Female","Graduate Degree","Terrible","Yes"
174,38,"Non-binary","Bachelor's Degree","Okay","No"
175,33,"Female","Bachelor's Degree","Okay","No"
176,39,"Male","Associate Degree","Terrible","Yes"
177,56,"Female","Associate Degree","Bad","No"
178,80,"Female","Associate Degree","Okay","No"
179,61,"Female","High School","Okay","No"
180,64,"Male","Bachelor's Degree","Good","No"
181,18,"Non-binary","Graduate Degree","Terrible","Yes"
182,60,"Non-binary","High School","Okay","Yes"
183,44,"Female","Associate Degree","Good","No"
184,18,"Male","Bachelor's Degree","Good","No"
185,50,"Male","Bachelor's Degree","Bad","Yes"
186,37,"Male","Bachelor's Degree","Terrible","No"
187,69,"Non-binary","Bachelor's Degree","Okay","No"
188,25,"Female","Graduate Degree","Excellent","Yes"
189,31,"Female","Bachelor's Degree","Terrible","Yes"
190,21,"Male","High School","Okay","Yes"
191,36,"Male","Associate Degree","Bad","Yes"
192,48,"Male","Graduate Degree","Okay","No"
193,25,"Male","Associate Degree","Good","Yes"
194,57,"Non-binary","Bachelor's Degree","Okay","No"
195,18,"Male","Graduate Degree","Bad","No"
196,19,"Male","High School","Okay","Yes"
197,69,"Non-binary","High School","Terrible","Yes"
198,20,"Non-binary","High School","Good","No"
199,48,"Non-binary","High School","Bad","Yes"
200,32,"Non-binary","Bachelor's Degree","Excellent","No"
201,48,"Non-binary","High School","Bad","Yes"
202,74,"Non-binary","Graduate Degree","Okay","Yes"
203,72,"Non-binary","Bachelor's Degree","Terrible","Yes"
204,33,"Non-binary","High School","Okay","Yes"
205,18,"Non-binary","Graduate Degree","Good","Yes"
206,80,"Non-binary","Bachelor's Degree","Okay","Yes"
207,53,"Female","Associate Degree","Bad","Yes"
208,51,"Female","Associate Degree","Excellent","Yes"
209,40,"Male","Bachelor's Degree","Okay","No"
210,50,"Non-binary","Associate Degree","Bad","No"
211,37,"Non-binary","Graduate Degree","Excellent","Yes"
212,48,"Non-binary","Bachelor's Degree","Excellent","No"
213,32,"Non-binary","Associate Degree","Bad","No"
214,18,"Non-binary","Bachelor's Degree","Okay","No"
215,60,"Male","Bachelor's Degree","Good","No"
216,70,"Male","Bachelor's Degree","Bad","No"
217,34,"Non-binary","Graduate Degree","Bad","No"
218,18,"Non-binary","High School","Bad","No"
219,53,"Female","Associate Degree","Good","No"
220,39,"Female","Bachelor's Degree","Good","Yes"
221,18,"Female","Graduate Degree","Terrible","No"
222,40,"Male","Associate Degree","Okay","Yes"
223,27,"Male","High School","Good","Yes"
224,33,"Female","Graduate Degree","Good","Yes"
225,18,"Male","Bachelor's Degree","Bad","No"
226,76,"Non-binary","Graduate Degree","Excellent","No"
227,33,"Male","Bachelor's Degree","Terrible","No"
228,18,"Non-binary","Bachelor's Degree","Excellent","Yes"
229,44,"Non-binary","Associate Degree","Bad","No"
230,45,"Male","High School","Terrible","Yes"
231,20,"Male","Bachelor's Degree","Okay","Yes"
232,18,"Non-binary","Bachelor's Degree","Okay","Yes"
233,27,"Male","Associate Degree","Terrible","No"
234,51,"Female","Graduate Degree","Bad","Yes"
235,39,"Female","Associate Degree","Good","Yes"
236,38,"Male","Graduate Degree","Terrible","Yes"
237,51,"Male","Bachelor's Degree","Okay","No"
238,18,"Non-binary","High School","Bad","No"
239,62,"Female","Associate Degree","Terrible","Yes"
240,40,"Male","High School","Okay","No"
241,54,"Female","Associate Degree","Good","No"
242,61,"Male","Bachelor's Degree","Good","Yes"
243,44,"Non-binary","Associate Degree","Excellent","Yes"
244,22,"Male","Bachelor's Degree","Terrible","No"
245,63,"Male","Bachelor's Degree","Terrible","Yes"
246,18,"Non-binary","Bachelor's Degree","Okay","Yes"
247,29,"Female","Associate Degree","Excellent","No"
248,35,"Female","High School","Okay","No"
249,37,"Male","Graduate Degree","Good","Yes"
250,60,"Female","Bachelor's Degree","Okay","Yes"
251,43,"Female","Associate Degree","Excellent","Yes"
252,48,"Female","High School","Okay","No"
253,39,"Non-binary","Graduate Degree","Terrible","No"
254,35,"Male","Associate Degree","Bad","Yes"
255,54,"Female","Bachelor's Degree","Bad","Yes"
256,63,"Female","High School","Bad","No"
257,18,"Male","Associate Degree","Good","Yes"
258,51,"Male","High School","Terrible","Yes"
259,47,"Male","Associate Degree","Bad","No"
260,31,"Female","High School","Terrible","Yes"
261,59,"Male","High School","Excellent","Yes"
262,32,"Non-binary","Bachelor's Degree","Okay","Yes"
263,34,"Non-binary","Associate Degree","Bad","Yes"
264,57,"Female","High School","Bad","Yes"
265,74,"Female","Associate Degree","Bad","Yes"
266,45,"Male","High School","Okay","Yes"
267,32,"Non-binary","Associate Degree","Excellent","No"
268,18,"Non-binary","High School","Okay","No"
269,33,"Male","High School","Bad","No"
270,21,"Female","Graduate Degree","Excellent","Yes"
271,35,"Male","Bachelor's Degree","Excellent","Yes"
272,48,"Female","Associate Degree","Bad","No"
273,23,"Female","Bachelor's Degree","Okay","No"
274,80,"Male","High School","Good","No"
275,43,"Female","Bachelor's Degree","Okay","No"
276,63,"Female","High School","Bad","Yes"
277,18,"Non-binary","Bachelor's Degree","Okay","No"
278,55,"Non-binary","Associate Degree","Okay","Yes"
279,18,"Male","Bachelor's Degree","Good","Yes"
280,58,"Female","High School","Okay","No"
281,48,"Male","Graduate Degree","Good","Yes"
282,32,"Non-binary","Associate Degree","Good","No"
283,66,"Non-binary","Bachelor's Degree","Okay","Yes"
284,26,"Female","Graduate Degree","Bad","Yes"
285,28,"Male","Bachelor's Degree","Excellent","No"
286,20,"Non-binary","Graduate Degree","Terrible","No"
287,27,"Female","Bachelor's Degree","Okay","Yes"
288,59,"Male","Bachelor's Degree","Good","Yes"
289,49,"Male","Associate Degree","Okay","Yes"
290,60,"Non-binary","High School","Bad","No"
291,32,"Male","Bachelor's Degree","Good","Yes"
292,48,"Female","High School","Okay","No"
293,45,"Non-binary","High School","Excellent","No"
294,18,"Female","Associate Degree","Bad","Yes"
295,76,"Female","Associate Degree","Okay","Yes"
296,43,"Female","Bachelor's Degree","Good","Yes"
297,55,"Female","Associate Degree","Bad","Yes"
298,59,"Non-binary","High School","Okay","No"
299,39,"Female","Bachelor's Degree","Bad","No"
300,34,"Female","Associate Degree","Bad","Yes"
301,58,"Female","High School","Okay","No"
302,19,"Non-binary","Associate Degree","Excellent","No"
303,79,"Non-binary","Associate Degree","Bad","No"
304,32,"Male","Associate Degree","Okay","No"
305,73,"Female","Associate Degree","Okay","No"
306,70,"Female","Associate Degree","Good","Yes"
307,42,"Female","Bachelor's Degree","Excellent","No"
308,51,"Non-binary","Associate Degree","Excellent","No"
309,20,"Male","Bachelor's Degree","Terrible","No"
310,46,"Male","Associate Degree","Bad","Yes"
311,61,"Male","Associate Degree","Good","Yes"
312,42,"Male","Associate Degree","Bad","Yes"
313,31,"Male","High School","Okay","Yes"
314,27,"Male","Bachelor's Degree","Excellent","No"
315,39,"Non-binary","Bachelor's Degree","Excellent","Yes"
316,61,"Female","Graduate Degree","Good","No"
317,30,"Non-binary","High School","Bad","Yes"
318,38,"Female","Bachelor's Degree","Okay","Yes"
319,18,"Female","High School","Good","Yes"
320,50,"Male","High School","Okay","Yes"
321,66,"Male","Bachelor's Degree","Bad","No"
322,70,"Female","Graduate Degree","Good","Yes"
323,56,"Female","Associate Degree","Bad","Yes"
324,18,"Male","Bachelor's Degree","Bad","No"
325,50,"Non-binary","Associate Degree","Okay","Yes"
326,49,"Male","Bachelor's Degree","Bad","No"
327,33,"Female","Graduate Degree","Excellent","No"
328,43,"Female","Associate Degree","Okay","Yes"
329,23,"Non-binary","High School","Okay","Yes"
330,54,"Non-binary","High School","Good","Yes"
331,33,"Male","High School","Terrible","Yes"
332,18,"Female","High School","Okay","No"
333,33,"Female","High School","Excellent","Yes"
334,67,"Female","Graduate Degree","Excellent","No"
335,33,"Male","High School","Terrible","Yes"
336,55,"Male","Bachelor's Degree","Excellent","Yes"
337,59,"Non-binary","Associate Degree","Okay","No"
338,40,"Male","Bachelor's Degree","Okay","No"
339,33,"Male","Bachelor's Degree","Okay","Yes"
340,29,"Female","Bachelor's Degree","Terrible","No"
341,55,"Male","Bachelor's Degree","Excellent","No"
342,19,"Female","Associate Degree","Excellent","No"
343,45,"Male","High School","Okay","Yes"
344,34,"Male","High School","Excellent","Yes"
345,18,"Male","Associate Degree","Okay","No"
346,18,"Non-binary","High School","Okay","Yes"
347,58,"Non-binary","Bachelor's Degree","Bad","No"
348,36,"Female","Graduate Degree","Bad","Yes"
349,56,"Non-binary","Associate Degree","Good","Yes"
350,78,"Non-binary","Bachelor's Degree","Good","Yes"
351,69,"Male","Bachelor's Degree","Terrible","No"
352,54,"Non-binary","Associate Degree","Excellent","Yes"
353,48,"Female","High School","Terrible","Yes"
354,36,"Male","High School","Okay","No"
355,72,"Non-binary","Associate Degree","Okay","Yes"
356,52,"Male","High School","Okay","No"
357,18,"Non-binary","Bachelor's Degree","Good","Yes"
358,37,"Non-binary","Associate Degree","Excellent","No"
359,18,"Male","Associate Degree","Terrible","Yes"
360,36,"Male","Graduate Degree","Excellent","No"
361,18,"Female","Graduate Degree","Okay","Yes"
362,66,"Female","High School","Good","No"
363,27,"Non-binary","Bachelor's Degree","Excellent","No"
364,31,"Non-binary","Graduate Degree","Terrible","No"
365,37,"Male","Graduate Degree","Excellent","Yes"
366,52,"Non-binary","Bachelor's Degree","Terrible","No"
367,54,"Female","High School","Good","Yes"
368,51,"Non-binary","Bachelor's Degree","Okay","Yes"
369,29,"Female","Graduate Degree","Terrible","Yes"
370,18,"Male","Associate Degree","Terrible","Yes"
371,32,"Non-binary","Graduate Degree","Good","No"
372,46,"Male","Graduate Degree","Good","No"
373,24,"Non-binary","High School","Okay","No"
374,39,"Male","Associate Degree","Terrible","No"
375,18,"Non-binary","Bachelor's Degree","Excellent","Yes"
376,40,"Non-binary","Graduate Degree","Bad","Yes"
377,43,"Non-binary","Bachelor's Degree","Excellent","Yes"
378,37,"Non-binary","Associate Degree","Bad","No"
379,37,"Female","Bachelor's Degree","Okay","Yes"
380,75,"Female","Graduate Degree","Okay","Yes"
381,55,"Non-binary","Graduate Degree","Bad","Yes"
382,62,"Male","High School","Okay","Yes"
383,22,"Female","Bachelor's Degree","Bad","No"
384,43,"Male","Associate Degree","Terrible","No"
385,63,"Male","Graduate Degree","Excellent","Yes"
386,39,"Non-binary","Associate Degree","Terrible","Yes"
387,18,"Female","Graduate Degree","Bad","No"
388,47,"Female","Associate Degree","Good","No"
389,18,"Male","Associate Degree","Excellent","No"
390,24,"Female","Associate Degree","Excellent","No"
391,66,"Male","Associate Degree","Okay","No"
392,52,"Female","High School","Bad","No"
393,62,"Non-binary","Associate Degree","Excellent","No"
394,46,"Male","Associate Degree","Okay","No"
395,38,"Male","Associate Degree","Terrible","Yes"
396,22,"Male","Graduate Degree","Good","Yes"
397,72,"Male","Bachelor's Degree","Excellent","Yes"
398,41,"Female","Graduate Degree","Good","No"
399,26,"Female","High School","Terrible","No"
400,57,"Male","High School","Okay","No"
401,61,"Male","Associate Degree","Bad","No"
402,78,"Non-binary","High School","Okay","No"
403,28,"Non-binary","Associate Degree","Okay","Yes"
404,32,"Non-binary","Associate Degree","Bad","No"
405,32,"Non-binary","High School","Bad","No"
406,32,"Male","Associate Degree","Okay","No"
407,33,"Male","Bachelor's Degree","Bad","Yes"
408,34,"Female","Associate Degree","Bad","Yes"
409,69,"Female","Associate Degree","Excellent","Yes"
410,26,"Female","High School","Okay","No"
411,32,"Non-binary","Associate Degree","Terrible","Yes"
412,53,"Non-binary","Associate Degree","Terrible","Yes"
413,62,"Female","Bachelor's Degree","Okay","Yes"
414,25,"Female","High School","Bad","Yes"
415,30,"Non-binary","Bachelor's Degree","Good","No"
416,50,"Male","Associate Degree","Bad","No"
417,60,"Male","Graduate Degree","Okay","Yes"
418,35,"Non-binary","High School","Okay","Yes"
419,18,"Female","Bachelor's Degree","Good","Yes"
420,74,"Non-binary","High School","Good","No"
421,69,"Female","Associate Degree","Terrible","Yes"
422,26,"Male","Associate Degree","Good","Yes"
423,39,"Female","High School","Bad","No"
424,18,"Male","High School","Terrible","Yes"
425,51,"Male","Associate Degree","Okay","Yes"
426,72,"Non-binary","Graduate Degree","Good","Yes"
427,18,"Non-binary","High School","Good","No"
428,24,"Male","Bachelor's Degree","Bad","No"
429,27,"Male","Associate Degree","Bad","Yes"
430,26,"Female","High School","Good","Yes"
431,18,"Male","High School","Good","Yes"
432,50,"Non-binary","Graduate Degree","Okay","Yes"
433,18,"Female","Bachelor's Degree","Bad","No"
434,40,"Male","Associate Degree","Terrible","Yes"
435,52,"Non-binary","High School","Bad","Yes"
436,36,"Female","Bachelor's Degree","Okay","No"
437,58,"Male","Bachelor's Degree","Excellent","No"
438,39,"Male","Associate Degree","Good","No"
439,27,"Female","Graduate Degree","Terrible","Yes"
440,53,"Non-binary","High School","Good","No"
441,31,"Male","Associate Degree","Excellent","Yes"
442,75,"Non-binary","Graduate Degree","Good","Yes"
443,40,"Female","Graduate Degree","Okay","Yes"
444,57,"Male","Associate Degree","Okay","No"
445,44,"Female","High School","Okay","Yes"
446,18,"Non-binary","High School","Bad","Yes"
447,18,"Male","Graduate Degree","Bad","Yes"
448,32,"Female","High School","Bad","No"
449,45,"Female","Bachelor's Degree","Terrible","No"
450,18,"Male","Associate Degree","Excellent","No"
451,59,"Female","Bachelor's Degree","Bad","No"
452,28,"Male","High School","Bad","Yes"
453,25,"Non-binary","Bachelor's Degree","Okay","Yes"
454,18,"Non-binary","Bachelor's Degree","Excellent","Yes"
455,18,"Male","Associate Degree","Okay","No"
456,41,"Female","Bachelor's Degree","Excellent","Yes"
457,50,"Female","Bachelor's Degree","Good","Yes"
458,18,"Male","Associate Degree","Bad","Yes"
459,20,"Female","Associate Degree","Bad","Yes"
460,51,"Non-binary","Associate Degree","Okay","No"
461,31,"Male","Associate Degree","Okay","No"
462,80,"Male","High School","Excellent","Yes"
463,65,"Male","High School","Excellent","Yes"
464,52,"Non-binary","High School","Excellent","Yes"
465,40,"Female","Bachelor's Degree","Okay","No"
466,46,"Male","Bachelor's Degree","Good","Yes"
467,26,"Male","High School","Good","Yes"
468,53,"Non-binary","High School","Good","Yes"
469,70,"Female","Bachelor's Degree","Good","Yes"
470,62,"Female","Bachelor's Degree","Okay","Yes"
471,24,"Male","Graduate Degree","Terrible","Yes"
472,18,"Male","Bachelor's Degree","Bad","Yes"
473,38,"Female","Associate Degree","Bad","No"
474,49,"Non-binary","High School","Terrible","Yes"
475,67,"Non-binary","Graduate Degree","Okay","No"
476,18,"Non-binary","Associate Degree","Bad","Yes"
477,47,"Female","High School","Bad","Yes"
478,45,"Male","Associate Degree","Excellent","No"
479,64,"Female","High School","Excellent","Yes"
480,39,"Non-binary","Bachelor's Degree","Excellent","No"
481,33,"Male","Associate Degree","Okay","No"
482,18,"Non-binary","High School","Excellent","No"
483,30,"Non-binary","Bachelor's Degree","Good","Yes"
484,33,"Male","Associate Degree","Excellent","No"
485,80,"Male","Associate Degree","Good","No"
486,80,"Female","Associate Degree","Good","No"
487,37,"Female","Associate Degree","Okay","No"
488,19,"Non-binary","High School","Bad","No"
489,18,"Non-binary","Graduate Degree","Okay","No"
490,50,"Non-binary","Bachelor's Degree","Good","No"
491,18,"Non-binary","Bachelor's Degree","Bad","No"
492,80,"Male","Associate Degree","Good","No"
493,22,"Non-binary","Bachelor's Degree","Good","Yes"
494,42,"Male","High School","Bad","Yes"
495,80,"Female","Bachelor's Degree","Okay","No"
496,18,"Female","Associate Degree","Terrible","No"
497,46,"Female","High School","Good","No"
498,18,"Male","Associate Degree","Terrible","Yes"
499,47,"Female","Bachelor's Degree","Okay","No"
500,23,"Male","Bachelor's Degree","Okay","No"
501,42,"Female","Associate Degree","Good","No"
502,34,"Male","High School","Good","Yes"
503,18,"Male","Associate Degree","Terrible","No"
504,40,"Non-binary","Bachelor's Degree","Good","No"
505,60,"Male","Graduate Degree","Bad","Yes"
506,72,"Male","High School","Excellent","No"
507,18,"Female","Graduate Degree","Bad","No"
508,35,"Female","Graduate Degree","Bad","No"
509,63,"Non-binary","High School","Okay","No"
510,18,"Non-binary","Associate Degree","Okay","Yes"
511,18,"Male","Associate Degree","Okay","No"
512,21,"Non-binary","Graduate Degree","Excellent","No"
513,21,"Female","Bachelor's Degree","Terrible","No"
514,41,"Male","Bachelor's Degree","Terrible","No"
515,32,"Female","High School","Okay","No"
516,45,"Non-binary","Bachelor's Degree","Terrible","No"
517,32,"Female","Associate Degree","Good","No"
518,47,"Female","High School","Okay","Yes"
519,33,"Male","Bachelor's Degree","Bad","Yes"
520,64,"Male","Associate Degree","Bad","Yes"
521,25,"Female","Associate Degree","Bad","No"
522,46,"Male","Associate Degree","Excellent","Yes"
523,22,"Non-binary","Graduate Degree","Terrible","Yes"
524,44,"Non-binary","Bachelor's Degree","Okay","No"
525,39,"Male","Associate Degree","Good","Yes"
526,18,"Male","Bachelor's Degree","Terrible","Yes"
527,37,"Non-binary","Bachelor's Degree","Terrible","Yes"
528,64,"Female","High School","Excellent","Yes"
529,54,"Non-binary","Associate Degree","Excellent","Yes"
530,43,"Female","Bachelor's Degree","Okay","No"
531,18,"Female","Bachelor's Degree","Okay","Yes"
532,63,"Male","Graduate Degree","Excellent","Yes"
533,42,"Female","Associate Degree","Okay","No"
534,31,"Non-binary","High School","Terrible","No"
535,73,"Male","High School","Bad","Yes"
536,25,"Non-binary","High School","Terrible","Yes"
537,46,"Male","High School","Bad","No"
538,66,"Non-binary","Associate Degree","Excellent","Yes"
539,52,"Non-binary","Bachelor's Degree","Excellent","Yes"
540,34,"Non-binary","Graduate Degree","Okay","No"
541,32,"Non-binary","High School","Terrible","Yes"
542,47,"Male","Bachelor's Degree","Okay","No"
543,50,"Non-binary","High School","Okay","Yes"
544,40,"Female","Associate Degree","Good","Yes"
545,66,"Male","Graduate Degree","Terrible","No"
546,39,"Male","High School","Bad","No"
547,26,"Male","Associate Degree","Terrible","Yes"
548,51,"Female","Bachelor's Degree","Bad","No"
549,18,"Female","Bachelor's Degree","Okay","No"
550,48,"Non-binary","Bachelor's Degree","Good","Yes"
551,50,"Male","High School","Good","Yes"
552,36,"Male","Bachelor's Degree","Bad","Yes"
553,18,"Non-binary","Graduate Degree","Okay","No"
554,32,"Male","Bachelor's Degree","Bad","Yes"
555,71,"Non-binary","Bachelor's Degree","Bad","No"
556,25,"Male","Bachelor's Degree","Okay","No"
557,18,"Male","Graduate Degree","Bad","Yes"
558,56,"Non-binary","Bachelor's Degree","Bad","No"
559,30,"Non-binary","Graduate Degree","Okay","Yes"
560,30,"Male","Graduate Degree","Bad","No"
561,18,"Male","Associate Degree","Okay","No"
562,40,"Female","Associate Degree","Good","Yes"
563,54,"Male","Associate Degree","Good","No"
564,28,"Male","High School","Terrible","Yes"
565,28,"Female","High School","Good","No"
566,62,"Male","Bachelor's Degree","Excellent","Yes"
567,35,"Male","Associate Degree","Okay","No"
568,37,"Non-binary","High School","Okay","No"
569,27,"Male","Bachelor's Degree","Okay","Yes"
570,58,"Female","Graduate Degree","Bad","Yes"
571,20,"Male","Bachelor's Degree","Excellent","Yes"
572,57,"Non-binary","Bachelor's Degree","Okay","No"
573,56,"Female","Bachelor's Degree","Excellent","No"
574,31,"Non-binary","High School","Terrible","Yes"
575,57,"Male","Graduate Degree","Okay","Yes"
576,60,"Male","Associate Degree","Okay","No"
